neg_utilization,neg_avg_speed
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.329268292682926789e-01,-9.741603290442484298e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
-4.268292682926829174e-01,-9.765503867336426946e-01
