neg_utilization,neg_min_speed
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
-9.799999999999999822e-01,-8.858893836140040445e-01
